country_region_code;country_region;sub_region_1;iso_3166_2_code;place_id;date;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-01;-33;-30;-9;-32;-66;7
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-02;22;34;12;35;4;-3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-03;26;51;2;36;-2;2
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-04;25;54;4;35;-1;1
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-05;24;51;14;38;1;1
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-06;24;49;8;38;2;2
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-07;20;48;3;31;8;1
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-08;20;42;-2;31;17;0
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-09;19;38;5;32;16;-1
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-10;20;49;1;36;4;2
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-11;19;49;2;33;1;2
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-12;16;44;9;32;1;3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-13;17;46;4;33;0;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-14;19;52;4;33;6;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-15;21;51;2;34;16;2
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-16;19;47;6;32;16;2
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-17;20;53;4;34;0;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-18;18;50;1;29;-4;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-19;16;47;10;24;-4;7
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-20;15;45;3;25;-5;8
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-21;14;46;-1;22;1;8
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-22;14;40;-6;18;12;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-23;11;34;-1;13;14;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-24;16;45;-1;23;-2;8
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-25;16;46;0;20;-5;7
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-26;15;42;8;24;-4;7
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-27;15;40;2;24;-3;7
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-28;17;46;0;24;4;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-29;21;46;0;24;16;3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-30;19;43;5;22;19;3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-01-31;24;55;3;30;3;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-01;23;55;5;30;1;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-02;22;49;13;29;2;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-03;19;45;6;27;3;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-04;18;44;3;27;10;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-05;22;41;0;27;19;3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-06;18;36;3;25;19;2
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-07;20;43;1;31;8;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-08;20;43;3;28;5;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-09;20;42;11;32;7;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-10;21;41;7;34;6;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-11;21;45;5;32;13;3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-12;24;42;3;29;22;1
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-13;25;41;8;27;24;1
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-14;43;57;13;38;13;1
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-15;27;55;5;35;9;2
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-16;26;53;15;41;10;2
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-17;25;49;9;36;11;2
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-18;24;47;6;33;18;1
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-19;26;44;5;31;22;0
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-20;24;38;9;31;22;0
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-21;22;45;3;36;14;2
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-22;24;46;7;33;12;2
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-23;23;44;16;38;13;2
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-24;22;42;9;34;13;2
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-25;25;48;6;36;19;0
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-26;27;45;5;35;24;-1
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-27;24;41;11;34;25;-1
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-02-28;30;57;7;40;16;0
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-01;29;58;8;39;13;1
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-02;27;50;19;40;14;1
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-03;24;44;10;39;14;2
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-04;24;45;6;35;21;2
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-05;27;42;4;32;24;1
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-06;25;37;10;31;25;1
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-07;21;38;3;34;17;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-08;21;38;6;34;15;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-09;17;35;14;35;16;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-10;19;34;10;36;17;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-11;19;38;9;36;23;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-12;22;36;4;31;26;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-13;21;34;12;37;28;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-14;20;39;9;39;20;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-15;26;48;10;39;17;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-16;25;47;20;45;17;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-17;23;41;14;43;17;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-18;24;44;11;41;23;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-19;24;39;4;36;24;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-20;27;40;14;39;26;3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-21;21;39;7;41;20;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-22;22;41;11;41;17;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-23;22;40;19;42;18;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-24;22;37;12;41;17;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-25;24;43;11;38;24;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-26;24;38;7;34;26;3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-27;13;30;1;26;25;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-28;16;34;2;32;20;7
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-29;18;36;3;32;17;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-30;19;38;9;33;17;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-03-31;26;47;10;39;19;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-01;23;46;7;36;26;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-02;26;42;2;32;26;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-03;25;39;9;34;26;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-04;19;35;3;35;19;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-05;21;38;6;37;18;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-06;20;37;15;39;18;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-07;22;36;10;40;17;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-08;23;41;9;36;23;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-09;24;38;4;36;26;3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-10;26;36;19;36;30;3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-11;30;44;12;32;-13;9
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-12;30;45;15;31;-17;9
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-13;39;60;32;42;-24;8
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-14;22;48;33;30;-54;13
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-15;-13;-1;19;-11;-69;20
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-16;-5;4;7;-2;-45;9
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-17;16;23;9;34;10;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-18;25;43;2;33;-6;11
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-19;20;39;5;37;15;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-20;19;37;15;40;17;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-21;20;36;8;40;17;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-22;20;38;3;37;24;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-23;25;38;1;34;27;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-24;24;36;9;38;28;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-25;19;36;3;38;20;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-26;22;39;5;39;19;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-27;22;38;14;37;19;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-28;23;38;10;35;18;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-29;27;45;6;34;25;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-04-30;34;51;5;34;28;3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-01;32;49;14;32;22;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-02;27;47;7;41;21;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-03;24;43;6;38;18;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-04;25;38;12;40;19;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-05;26;39;9;37;19;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-06;22;37;2;35;24;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-07;30;40;2;31;27;3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-08;32;41;10;32;30;3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-09;38;52;11;41;18;3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-10;44;54;16;23;-50;14
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-11;22;41;16;42;19;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-12;22;38;10;39;19;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-13;25;45;8;35;25;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-14;31;47;6;32;27;3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-15;33;48;15;39;28;3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-16;25;46;8;38;20;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-17;25;43;9;40;20;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-18;22;39;15;39;19;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-19;23;39;8;37;18;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-20;24;40;4;35;25;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-21;26;39;-1;27;25;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-22;21;35;2;27;24;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-23;19;37;-1;36;21;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-24;22;40;2;36;19;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-25;23;39;9;38;20;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-26;22;36;4;37;19;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-27;21;38;-1;31;25;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-28;24;39;-4;27;26;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-29;21;34;-2;27;25;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-30;24;44;1;38;22;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-05-31;30;52;4;39;21;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-01;28;51;14;41;20;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-02;27;45;9;40;19;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-03;23;40;1;35;25;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-04;27;40;-1;30;27;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-05;19;32;-6;27;23;7
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-06;17;32;-5;32;21;7
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-07;22;41;3;36;19;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-08;22;39;12;35;19;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-09;21;36;6;39;20;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-10;21;38;2;38;26;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-11;26;38;-1;28;27;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-12;25;38;8;28;26;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-13;16;31;-3;34;21;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-14;19;38;-5;32;17;7
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-15;30;51;12;42;19;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-16;38;55;12;47;17;3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-17;32;54;3;17;-45;17
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-18;21;34;-6;22;17;8
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-19;23;34;2;28;25;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-20;22;38;0;36;14;8
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-21;23;38;-2;37;10;7
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-22;30;45;14;44;7;7
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-23;27;44;9;40;11;7
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-24;27;46;6;36;16;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-25;29;43;5;31;27;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-26;28;42;10;32;28;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-27;25;43;7;40;22;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-28;26;42;7;40;18;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-29;30;48;17;41;19;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-06-30;37;57;15;43;20;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-01;33;58;11;41;26;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-02;29;43;-2;31;26;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-03;27;44;1;28;25;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-04;27;43;4;34;9;9
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-05;22;36;0;32;6;9
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-06;26;42;11;34;7;9
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-07;28;41;12;40;20;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-08;27;42;8;36;27;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-09;31;40;5;27;27;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-10;29;36;9;31;26;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-11;20;33;0;37;22;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-12;25;41;7;37;20;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-13;24;36;12;40;20;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-14;30;45;14;41;21;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-15;33;52;14;40;28;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-16;36;50;9;36;29;3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-17;38;51;18;40;29;3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-18;28;44;9;43;24;7
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-19;25;41;5;44;20;8
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-20;31;47;21;49;22;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-21;29;43;12;47;22;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-22;24;40;3;39;28;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-23;30;45;2;34;29;4
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-24;33;47;14;37;28;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-25;28;43;4;40;24;6
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-26;31;47;10;43;20;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-27;31;46;15;46;24;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-28;34;48;12;48;24;5
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-29;40;56;11;47;29;3
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-30;38;55;5;40;32;2
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-07-31;43;59;22;46;34;2
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-08-01;43;58;15;40;-5;9
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-08-02;38;52;9;37;-10;9
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-08-03;47;59;36;44;-20;8
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-08-04;38;51;28;39;-35;11
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-08-05;17;35;17;22;-46;14
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-08-06;8;15;7;14;-36;9
SV;El Salvador;N/A;N/A;ChIJVwZkWaYnY48RMkiFmOsWmm8;2022-08-07;26;34;10;45;19;4
